alg;enc;instance;problem;final_fit
apso;alg;lop/N-be75oi;lop;108460
apso;alg;lop/N-be75oi;lop;108464
apso;alg;lop/N-be75oi;lop;108640
apso;alg;lop/N-be75oi;lop;108666
apso;alg;lop/N-be75oi;lop;109100
apso;alg;lop/N-be75oi;lop;109138
apso;alg;lop/N-be75oi;lop;109142
apso;alg;lop/N-be75oi;lop;109153
apso;alg;lop/N-be75oi;lop;109194
apso;alg;lop/N-be75oi;lop;109200
apso;alg;lop/N-be75oi;lop;109216
apso;alg;lop/N-be75oi;lop;109223
apso;alg;lop/N-be75oi;lop;109228
apso;alg;lop/N-be75oi;lop;109269
apso;alg;lop/N-be75oi;lop;109331
apso;alg;lop/N-be75oi;lop;109380
apso;alg;lop/N-be75oi;lop;109435
apso;alg;lop/N-be75oi;lop;109480
apso;alg;lop/N-be75oi;lop;109631
apso;alg;lop/N-be75oi;lop;109644
apso-b;alg;lop/N-be75oi;lop;108927
apso-b;alg;lop/N-be75oi;lop;108935
apso-b;alg;lop/N-be75oi;lop;109166
apso-b;alg;lop/N-be75oi;lop;109170
apso-b;alg;lop/N-be75oi;lop;109582
apso-b;alg;lop/N-be75oi;lop;109596
apso-b;alg;lop/N-be75oi;lop;109658
apso-b;alg;lop/N-be75oi;lop;109670
apso-b;alg;lop/N-be75oi;lop;109673
apso-b;alg;lop/N-be75oi;lop;109690
apso-b;alg;lop/N-be75oi;lop;109716
apso-b;alg;lop/N-be75oi;lop;109716
apso-b;alg;lop/N-be75oi;lop;109730
apso-b;alg;lop/N-be75oi;lop;109735
apso-b;alg;lop/N-be75oi;lop;109820
apso-b;alg;lop/N-be75oi;lop;109873
apso-b;alg;lop/N-be75oi;lop;109899
apso-b;alg;lop/N-be75oi;lop;109972
apso-b;alg;lop/N-be75oi;lop;110085
apso-b;alg;lop/N-be75oi;lop;110106
apso-bi;alg;lop/N-be75oi;lop;110584
apso-bi;alg;lop/N-be75oi;lop;110584
apso-bi;alg;lop/N-be75oi;lop;110598
apso-bi;alg;lop/N-be75oi;lop;110598
apso-bi;alg;lop/N-be75oi;lop;110752
apso-bi;alg;lop/N-be75oi;lop;110752
apso-bi;alg;lop/N-be75oi;lop;110759
