alg;enc;instance;problem;final_fit
apso-b;alg;lop/N-be75eec;lop;236464
apso-bi;alg;lop/N-be75eec;lop;236464
apso-bi;alg;lop/N-be75eec;lop;236464
apso-bi;alg;lop/N-be75eec;lop;236464
apso-bi;alg;lop/N-be75eec;lop;236464
apso-bi;alg;lop/N-be75eec;lop;235859
apso-bi;alg;lop/N-be75eec;lop;235676
apso-b;alg;lop/N-be75eec;lop;235524
apso-bi;alg;lop/N-be75eec;lop;235455
apso-bi;alg;lop/N-be75eec;lop;235413
apso-b;alg;lop/N-be75eec;lop;235311
apso-b;alg;lop/N-be75eec;lop;235225
apso-bi;alg;lop/N-be75eec;lop;235224
apso-b;alg;lop/N-be75eec;lop;235220
apso-i;alg;lop/N-be75eec;lop;235206
apso-b;alg;lop/N-be75eec;lop;235153
apso-bi;alg;lop/N-be75eec;lop;235127
apso-bi;alg;lop/N-be75eec;lop;235125
apso-bi;alg;lop/N-be75eec;lop;235071
apso-b;alg;lop/N-be75eec;lop;235039
apso-bi;alg;lop/N-be75oi;lop;111171
apso-bi;alg;lop/N-be75oi;lop;111158
apso-bi;alg;lop/N-be75oi;lop;111068
apso-bi;alg;lop/N-be75oi;lop;111068
apso-bi;alg;lop/N-be75oi;lop;111021
apso-bi;alg;lop/N-be75oi;lop;111021
apso-i;alg;lop/N-be75oi;lop;110938
apso-i;alg;lop/N-be75oi;lop;110938
apso-i;alg;lop/N-be75oi;lop;110933
apso-i;alg;lop/N-be75oi;lop;110933
apso-bi;alg;lop/N-be75oi;lop;110917
apso-bi;alg;lop/N-be75oi;lop;110917
apso-bi;alg;lop/N-be75oi;lop;110901
apso-bi;alg;lop/N-be75oi;lop;110901
apso-bi;alg;lop/N-be75oi;lop;110889
apso-bi;alg;lop/N-be75oi;lop;110889
apso-bi;alg;lop/N-be75oi;lop;110886
apso-bi;alg;lop/N-be75oi;lop;110886
apso-i;alg;lop/N-be75oi;lop;110881
apso-i;alg;lop/N-be75oi;lop;110881
apso-bi;alg;lop/N-stabu70;lop;359201
apso-bi;alg;lop/N-stabu70;lop;359201
apso-bi;alg;lop/N-stabu70;lop;358526
apso-bi;alg;lop/N-stabu70;lop;358526
apso-i;alg;lop/N-stabu70;lop;358479
apso-i;alg;lop/N-stabu70;lop;358479
apso-bi;alg;lop/N-stabu70;lop;358331
apso-bi;alg;lop/N-stabu70;lop;358331
apso-i;alg;lop/N-stabu70;lop;358233
apso-i;alg;lop/N-stabu70;lop;358233
apso-bi;alg;lop/N-stabu70;lop;358142
apso-bi;alg;lop/N-stabu70;lop;358142
apso-i;alg;lop/N-stabu70;lop;357812
apso-i;alg;lop/N-stabu70;lop;357812
apso;alg;lop/N-stabu70;lop;357572
apso-bi;alg;lop/N-stabu70;lop;357553
apso-bi;alg;lop/N-stabu70;lop;357553
apso-b;alg;lop/N-stabu70;lop;357532
apso-i;alg;lop/N-stabu70;lop;357529
apso-i;alg;lop/N-stabu70;lop;357529
apso;alg;lop/N-stabu74;lop;524667
apso;alg;lop/N-stabu74;lop;525331
apso;alg;lop/N-stabu74;lop;525778
apso;alg;lop/N-stabu74;lop;526234
apso;alg;lop/N-stabu74;lop;527350
apso;alg;lop/N-stabu74;lop;527518
apso;alg;lop/N-stabu74;lop;528214
apso;alg;lop/N-stabu74;lop;528519
apso;alg;lop/N-stabu74;lop;528870
apso;alg;lop/N-stabu74;lop;529052
apso;alg;lop/N-stabu74;lop;529252
apso;alg;lop/N-stabu74;lop;529960
apso;alg;lop/N-stabu74;lop;530347
apso;alg;lop/N-stabu74;lop;532261
apso;alg;lop/N-stabu74;lop;532787
apso;alg;lop/N-stabu74;lop;532857
apso;alg;lop/N-stabu74;lop;533147
apso;alg;lop/N-stabu74;lop;533244
apso;alg;lop/N-stabu74;lop;535874
apso;alg;lop/N-stabu74;lop;536212
apso;alg;lop/N-stabu75;lop;519742
apso;alg;lop/N-stabu75;lop;521627
apso;alg;lop/N-stabu75;lop;523382
apso;alg;lop/N-stabu75;lop;524390
apso;alg;lop/N-stabu75;lop;526497
apso;alg;lop/N-stabu75;lop;527843
apso;alg;lop/N-stabu75;lop;528741
apso;alg;lop/N-stabu75;lop;530473
apso;alg;lop/N-stabu75;lop;531428
apso;alg;lop/N-stabu75;lop;531538
apso;alg;lop/N-stabu75;lop;532299
apso;alg;lop/N-stabu75;lop;532517
apso;alg;lop/N-stabu75;lop;532994
apso;alg;lop/N-stabu75;lop;533450
apso;alg;lop/N-stabu75;lop;534214
apso;alg;lop/N-stabu75;lop;534479
apso;alg;lop/N-stabu75;lop;536110
apso;alg;lop/N-stabu75;lop;536152
apso;alg;lop/N-stabu75;lop;537114
apso;alg;lop/N-stabu75;lop;537425
apso;alg;lop/N-t69r11xx;lop;760196
apso;alg;lop/N-t69r11xx;lop;760452
apso;alg;lop/N-t69r11xx;lop;760743
apso;alg;lop/N-t69r11xx;lop;760938
apso;alg;lop/N-t69r11xx;lop;761172
apso;alg;lop/N-t69r11xx;lop;762273
apso;alg;lop/N-t69r11xx;lop;762959
apso;alg;lop/N-t69r11xx;lop;762975
